year_t,month_t,day_t,hour_t,table_index,dis,lower_dis,upper_dis,location,creat_dt,id
2021,3,21,0,47415,17.76077768,16.30720642,19.21434894,KJ,2023-08-18 05:42:48.479,2563345
2021,3,21,1,47415,14.8004733,13.34690212,16.25404448,KJ,2023-08-18 05:42:48.479,2563369
2021,3,21,2,47415,15.10519222,13.65162105,16.5587634,KJ,2023-08-18 05:42:48.479,2563393
2021,3,21,3,47415,14.08437729,12.63080611,15.53794847,KJ,2023-08-18 05:42:48.479,2563417
2021,3,21,4,47415,13.64807345,12.19450227,15.10164462,KJ,2023-08-18 05:42:48.479,2563441
2021,3,21,5,47415,14.9727983,13.51922712,16.42636947,KJ,2023-08-18 05:42:48.479,2563465
2021,3,21,6,47415,15.39253536,13.93896419,16.84610653,KJ,2023-08-18 05:42:48.479,2563489
2021,3,21,7,47415,15.91137176,14.45780059,17.36494293,KJ,2023-08-18 05:42:48.479,2563513
2021,3,21,8,47415,18.52452453,17.07095336,19.97809571,KJ,2023-08-18 05:42:48.479,2563537
2021,3,21,9,47415,18.92677521,17.47320404,20.38034638,KJ,2023-08-18 05:42:48.479,2563561
2021,3,21,10,47415,20.8771545,19.4250369,22.3292721,KJ,2023-08-18 05:42:48.479,2563585
2021,3,21,11,47415,21.21988738,19.76197003,22.67780472,KJ,2023-08-18 05:42:48.479,2563609
2021,3,21,12,47415,20.52010783,19.06365133,21.97656433,KJ,2023-08-18 05:42:48.479,2563633
2021,3,21,13,47415,20.29999001,18.83480337,21.76517666,KJ,2023-08-18 05:42:48.479,2563657
2021,3,21,14,47415,19.93236953,18.4701162,21.39462286,KJ,2023-08-18 05:42:48.479,2563681
2021,3,21,15,47415,20.01856534,18.55480466,21.48232602,KJ,2023-08-18 05:42:48.479,2563705
2021,3,21,16,47415,20.55811382,19.09873567,22.01749198,KJ,2023-08-18 05:42:48.479,2563729
2021,3,21,17,47415,20.15320722,18.69675075,21.60966368,KJ,2023-08-18 05:42:48.479,2563753
2021,3,21,18,47415,22.75019457,21.3053376,24.19505153,KJ,2023-08-18 05:42:48.479,2563777
2021,3,21,19,47415,22.48539207,21.04487403,23.92591011,KJ,2023-08-18 05:42:48.479,2563801
2021,3,21,20,47415,22.39013585,20.9394937,23.84077802,KJ,2023-08-18 05:42:48.479,2563825
2021,3,21,21,47415,20.63064291,19.18288175,22.07840409,KJ,2023-08-18 05:42:48.479,2563849
2021,3,21,22,47415,19.50230898,18.05454783,20.95007013,KJ,2023-08-18 05:42:48.479,2563897
2021,3,21,23,47415,15.5549369,13.1792121,17.9306617,KJ,2023-08-18 05:42:48.479,2563898
